food_name,glycemic_index,glycemic_load,category,serving_size_g,carbs_g,fiber_g,protein_g,fat_g,calories,diabetes_friendly,alternatives,notes
White rice,72,29,grains,150,53,0.6,4,0.4,242,False,"Brown rice, Cauliflower rice, Quinoa","High GI, causes rapid glucose spike"
Brown rice,50,16,grains,150,45,3.5,5,1.5,218,True,"Cauliflower rice, Quinoa","Lower GI, better choice"
White bread,75,10,bread,30,15,0.6,2.7,1,80,False,"Whole grain bread, Sourdough, Rye bread","Highly processed, avoid"
Whole grain bread,51,7,bread,30,12,2,3,1,70,True,"Sourdough, Rye bread","Good fiber content"
Oatmeal,55,13,grains,250,27,4,9,3,166,True,"Steel cut oats, Chia pudding","Slow release energy"
Pasta (white),50,20,grains,180,42,2,7,1,220,False,"Whole grain pasta, Zucchini noodles","Moderate GI, watch portions"
Whole grain pasta,42,16,grains,180,38,6,8,2,200,True,"Legume pasta, Zucchini noodles","Better fiber option"
Apple,36,6,fruits,182,25,4.4,0.5,0.3,95,True,"Berries, Pear","Low GI fruit"
Banana,51,12,fruits,118,27,3.1,1.3,0.4,105,True,"Berries, Apple","Ripe bananas higher GI"
Watermelon,72,4,fruits,280,21,1.1,0.9,0.2,86,False,"Berries, Cucumber","High GI but low GL"
Orange,43,5,fruits,180,21,4.3,1.7,0.2,86,True,"Grapefruit, Berries","Good vitamin C source"
Strawberries,40,1,fruits,152,11,2.9,1,0.5,49,True,,"Excellent choice, very low GI"
Blueberries,53,6,fruits,148,21,3.6,1.1,0.5,84,True,,"Rich in antioxidants"
Grapes,59,11,fruits,92,15,0.8,0.6,0.1,62,False,"Berries, Apple","Moderate GI, limit portions"
Milk (whole),39,5,dairy,244,12,0,8,8,149,True,"Almond milk, Greek yogurt","Good calcium source"
Greek yogurt,11,3,dairy,245,9,0,17,0.7,100,True,,"Excellent protein, low GI"
Eggs,0,0,protein,50,0.6,0,6,5,77,True,,"No carbs, great protein"
Chicken breast,0,0,protein,100,0,0,31,3.6,165,True,,"Lean protein, no carbs"
Salmon,0,0,protein,85,0,0,22,13,175,True,,"Omega-3 rich, excellent choice"
Lentils,32,5,legumes,198,40,15.6,18,0.8,230,True,,"High fiber, excellent blood sugar control"
Chickpeas,28,8,legumes,164,45,12.5,15,4,269,True,,"Low GI, high protein"
Black beans,30,7,legumes,172,41,15,15,0.9,227,True,,"Excellent for diabetics"
Sweet potato,70,22,vegetables,150,37,5.9,2.3,0.2,180,False,"Regular potato baked, Cauliflower mash","Lower GI than white potato but still moderate"
Broccoli,10,1,vegetables,91,6,2.4,2.6,0.3,31,True,,"Excellent blood sugar friendly"
Spinach,15,1,vegetables,180,7,4.3,5.4,1.2,65,True,,"Highly recommended for diabetics"
Carrots,47,3,vegetables,128,12,3.6,1.2,0.3,52,True,,"Moderate GI, good fiber"
Potato (white),82,21,vegetables,150,37,4.7,4,0.2,161,False,"Sweet potato, Cauliflower mash","High GI, limit consumption"
Corn,52,9,vegetables,154,41,4.6,5.4,2,177,False,"Green peas, Broccoli","Moderate-high GI"
Pizza,60,16,fast_food,100,26,2,7,7,266,False,"Cauliflower pizza, Lettuce wraps","High GI, limit"
Burger,66,24,fast_food,200,46,3,22,18,450,False,"Grilled chicken salad, Turkey lettuce wrap","Avoid, processed carbs"
French fries,75,22,fast_food,150,40,4,4,17,365,False,"Baked zucchini, Roasted veggies","Very high GI, avoid"
Soda/cola,65,26,beverages,355,39,0,0,0,155,False,"Water, Sparkling water, Herbal tea","Empty calories, avoid"
Orange juice,50,12,beverages,248,26,0.5,2,0.5,112,False,"Whole orange, Water with lemon","Lacks fiber, better to eat whole fruit"
Coffee (black),0,0,beverages,240,0,0,0,0,2,True,,"No glycemic impact"
Green tea,0,0,beverages,240,0,0,0,0,2,True,,"Contains beneficial antioxidants"
Chocolate (dark 70%+),23,6,snacks,40,13,3,2,12,160,True,"Raw cacao nibs","In moderation, choose 70%+"
Chips,54,11,snacks,30,16,1.4,2,7,155,False,"Nuts, Seeds, Roasted chickpeas","Highly processed, avoid"
Almonds,0,0,nuts,30,6,3.5,6,14,164,True,,"Excellent snack for diabetics"
Walnuts,15,1,nuts,30,4,2,4,18,185,True,,"Omega-3 rich, blood sugar friendly"
Honey,61,12,sweeteners,21,17,0,0,0,64,False,"Stevia, Monk fruit sweetener","Still raises blood sugar"
Sugar (white),68,7,sweeteners,4,4,0,0,0,16,False,"Stevia, Erythritol, Monk fruit","Avoid, causes spikes"
Quinoa,53,13,grains,185,40,5,8,3.5,222,True,,"Complete protein grain, good choice"
